[2023-11-09 19:14:28] INFO: Starting local search for instance SCMTD...
[2023-11-09 19:14:28] INFO: Initializing inputs to the model...
[2023-11-09 19:14:28] INFO: Reading trip data from file...
[2023-11-09 19:14:28] INFO: Trip data read successfully
[2023-11-09 19:14:28] INFO: Number of trips: 1830
[2023-11-09 19:14:28] INFO: First time step: 315
[2023-11-09 19:14:28] INFO: Last time step: 1498
[2023-11-09 19:14:28] INFO: Reading terminal data from file...
[2023-11-09 19:14:28] INFO: Terminal data read successfully
[2023-11-09 19:14:28] INFO: Number of terminals: 26
[2023-11-09 19:14:28] INFO: Augmenting trips with depot stops...
[2023-11-09 19:14:28] INFO: Number of trips after augmentation: 1856
[2023-11-09 19:14:28] INFO: Reading trip pair data from file...
[2023-11-09 19:14:29] INFO: Trip pair data read successfully
[2023-11-09 19:14:29] INFO: Initializing vehicle rotations from the concurrent scheduler solution...
[2023-11-09 19:14:29] INFO: Vehicle rotations read successfully
[2023-11-09 19:14:29] INFO: Number of vehicles: 187
[2023-11-09 19:14:29] INFO: Creating energy price intervals...
[2023-11-09 19:14:29] INFO: Inputs to the model initialized successfully
[2023-11-09 19:14:29] INFO: Number of successful openings: 0
[2023-11-09 19:14:29] INFO: Number of successful closures: 0
[2023-11-09 19:14:29] INFO: Finishing local search...
[2023-11-09 19:14:29] INFO: Utilization statistics: (Terminal ID: Is charge station, Current idle time, Potential idle time)
[2023-11-09 19:14:29] INFO: Terminal 1: 1 2129 0
[2023-11-09 19:14:29] INFO: Terminal 2: 0 0 244
[2023-11-09 19:14:29] INFO: Terminal 3: 1 1682 0
[2023-11-09 19:14:29] INFO: Terminal 4: 0 0 0
[2023-11-09 19:14:29] INFO: Terminal 5: 1 47 0
[2023-11-09 19:14:29] INFO: Terminal 6: 0 0 0
[2023-11-09 19:14:29] INFO: Terminal 7: 1 25 0
[2023-11-09 19:14:29] INFO: Terminal 8: 1 1001 0
[2023-11-09 19:14:29] INFO: Terminal 9: 0 0 0
[2023-11-09 19:14:29] INFO: Terminal 10: 0 0 0
[2023-11-09 19:14:29] INFO: Terminal 11: 0 0 0
[2023-11-09 19:14:29] INFO: Terminal 12: 1 559 0
[2023-11-09 19:14:29] INFO: Terminal 13: 0 0 0
[2023-11-09 19:14:29] INFO: Terminal 14: 0 0 24
[2023-11-09 19:14:29] INFO: Terminal 15: 0 0 0
[2023-11-09 19:14:29] INFO: Terminal 16: 1 14770 0
[2023-11-09 19:14:29] INFO: Terminal 17: 1 1234 0
[2023-11-09 19:14:29] INFO: Terminal 18: 1 1843 0
[2023-11-09 19:14:29] INFO: Terminal 19: 1 98 0
[2023-11-09 19:14:29] INFO: Terminal 20: 1 608 0
[2023-11-09 19:14:29] INFO: Terminal 21: 0 0 3055
[2023-11-09 19:14:29] INFO: Terminal 22: 1 491 0
[2023-11-09 19:14:29] INFO: Terminal 23: 1 321 0
[2023-11-09 19:14:29] INFO: Terminal 24: 1 9061 0
[2023-11-09 19:14:29] INFO: Terminal 25: 1 0 0
[2023-11-09 19:14:29] INFO: Terminal 26: 1 0 0
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 1 25 0.000000 1834 1726 1696 1369 1429 1692 1703 1766 1655 1691 1781 1725 1681 1686 1763 1644 1642 1786 1683 1700 1324 1474 512 1409 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 54 15 0.000000 1835 868 867 835 1088 909 1054 1462 1444 843 1442 1482 93 514 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 55 14 0.000000 1835 179 144 1050 943 919 899 372 1084 896 1021 1193 350 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 56 14 0.000000 1835 270 134 58 1594 1626 1483 1560 1274 316 459 111 201 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 57 12 0.000000 1833 697 804 114 286 834 650 656 80 657 128 1833 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 58 15 0.000000 1833 743 787 26 1538 720 586 801 755 1055 1137 71 601 1023 1833 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 59 12 0.000000 1833 636 773 119 746 674 699 549 567 695 665 1833 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 60 14 0.000000 1835 861 851 488 295 1562 1620 1719 1177 504 1163 294 530 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 61 17 0.000000 1835 849 858 461 357 1123 1006 509 836 1078 35 1404 1360 1393 969 982 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 62 14 0.000000 1833 696 574 29 1459 733 605 538 961 1044 806 625 445 1833 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 63 16 0.000000 1835 860 855 413 283 563 420 816 1275 1637 1300 518 525 978 98 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 64 13 0.000000 1833 704 587 207 379 652 669 931 1118 750 622 453 1833 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 65 15 0.000000 1833 731 688 1051 196 202 838 729 583 814 69 644 712 968 1833 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 66 13 0.000000 1833 602 719 1518 1778 1501 757 634 766 57 146 169 1833 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 67 13 0.000000 1833 741 705 1411 1776 1549 775 543 802 735 366 154 1833 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 68 13 0.000000 1833 572 738 1111 260 376 762 608 778 833 711 1243 1833 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 69 14 0.000000 1835 752 789 1103 418 1159 1273 14 438 1506 1432 1542 1279 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 70 15 0.000000 1835 1029 620 732 1352 1663 1493 839 1124 4 97 550 555 182 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 71 15 0.000000 1835 1000 744 604 1256 1568 347 841 1121 387 823 1113 464 723 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 72 13 0.000000 1835 995 194 113 1130 1454 1586 1592 1321 440 546 1031 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 73 14 0.000000 1835 791 767 1128 416 1043 397 360 1311 1357 825 647 736 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 74 14 0.000000 1835 797 753 1100 480 1041 406 399 1259 1160 524 664 701 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 75 14 0.000000 1835 1209 1724 1659 1660 1684 1151 1217 1535 477 508 1476 1028 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 76 15 0.000000 1835 1214 1695 1736 1701 1734 1162 1176 1452 444 1139 321 275 545 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 77 13 0.000000 1835 1165 1172 1007 428 274 1395 1747 1278 1200 1012 325 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 78 12 0.000000 1835 19 1381 1641 1643 1635 1570 819 1346 1232 291 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 79 13 0.000000 1835 40 1063 237 380 1116 38 1117 30 1101 469 616 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 80 15 0.000000 1835 5 1420 1230 847 39 1064 8 1133 86 1046 385 33 1237 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 81 12 0.000000 1835 1531 1765 1152 68 1382 1757 1435 663 1266 328 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 82 13 0.000000 1834 1741 1754 1180 670 739 1191 307 1255 1153 547 268 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 83 13 0.000000 1835 1551 1144 996 1011 1135 1306 1308 1047 31 908 308 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 84 12 0.000000 1835 60 79 737 638 1249 1600 1178 487 1598 987 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 85 14 0.000000 1835 1126 989 888 16 24 826 1290 1304 564 90 83 1500 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 86 14 0.000000 1835 1098 998 671 742 1027 1091 1331 1258 713 607 282 421 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 87 14 0.000000 1835 1090 1018 672 609 390 1013 50 1003 952 1472 1059 548 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 88 13 0.000000 1834 1657 1738 1169 798 793 519 1554 1629 1564 403 1386 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 89 12 0.000000 1834 1731 1706 1783 1224 301 1465 1284 419 443 1475 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 90 12 0.000000 1835 1516 1771 1540 392 910 1108 1347 1267 906 245 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 91 13 0.000000 1834 1662 1714 1405 103 34 476 359 691 700 1203 1590 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 92 13 0.000000 1835 78 74 595 649 1235 1208 502 1289 1358 290 317 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 93 12 0.000000 1835 341 1073 130 374 1068 535 1504 1328 314 281 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 94 12 0.000000 1834 1215 166 232 1294 1148 495 1286 1251 623 666 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 95 11 0.000000 1834 1143 921 1408 1561 1394 1303 423 1138 1194 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 96 11 0.000000 1835 323 1112 618 592 1555 1207 197 227 1589 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 97 10 0.000000 1835 319 916 1431 1694 1155 880 904 309 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 98 10 0.000000 1834 1210 1038 1543 1519 1573 404 1567 273 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 99 11 0.000000 1834 1651 1378 383 92 494 470 818 1582 521 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 100 11 0.000000 1834 1650 1825 1489 794 895 327 832 718 203 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 101 10 0.000000 1834 1646 1817 1529 780 1239 88 1229 573 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 102 12 0.000000 1835 1102 897 304 46 499 451 715 842 1287 190 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 103 15 0.000000 1835 865 862 1336 1597 81 520 935 1080 569 49 1014 133 183 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 104 13 0.000000 1835 863 859 1302 1820 1182 831 1343 1262 734 655 653 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 105 10 0.000000 1834 1399 1388 1556 63 1260 61 902 506 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 106 13 0.000000 1835 850 856 1252 1819 1201 883 36 77 456 629 689 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 107 11 0.000000 1834 1603 1805 1807 1400 23 517 55 1546 1470 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 108 10 0.000000 1835 985 917 322 1359 393 596 658 1142 1835 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 109 11 0.000000 1834 1263 126 198 774 764 844 788 612 318 1834 
[2023-11-09 19:14:29] INFO: Vehicle ID, No. of Trips, Deadhead cost, Trip IDs: 110 11 0.000000 1835 951 901 648 710 1428 1120 677 624 507 1835 
