[2023-10-12 15:27:19] INFO: Starting local search for instance Ann_Arbor...
[2023-10-12 15:27:20] DEBUG: 71 13 15 978 1020 15.537000
[2023-10-12 15:27:20] DEBUG: 72 8 15 528 570 17.327000
[2023-10-12 15:27:20] DEBUG: 73 25 1 572 585 4.789000
[2023-10-12 15:27:20] DEBUG: 74 10 1 813 825 3.506000
[2023-10-12 15:27:20] DEBUG: 75 28 1 1098 1125 9.688000
[2023-10-12 15:27:20] DEBUG: 76 2 15 693 720 10.230000
[2023-10-12 15:27:20] DEBUG: 77 27 1 1053 1095 15.699000
[2023-10-12 15:27:20] DEBUG: 78 28 1 858 885 9.688000
[2023-10-12 15:27:20] DEBUG: 79 23 1 909 930 9.052000
[2023-10-12 15:27:20] DEBUG: 80 26 1 722 735 6.474000
[2023-10-12 15:27:20] DEBUG: 81 6 29 618 645 15.026000
[2023-10-12 15:27:20] DEBUG: 82 5 1 1128 1183 20.256000
[2023-10-12 15:27:20] DEBUG: 83 13 15 888 930 15.537000
[2023-10-12 15:27:20] DEBUG: 84 3 15 528 555 12.400000
[2023-10-12 15:27:20] DEBUG: 85 3 15 1068 1095 12.400000
[2023-10-12 15:27:20] DEBUG: 86 7 16 948 967 9.107000
[2023-10-12 15:27:20] DEBUG: 87 22 15 675 688 9.549000
[2023-10-12 15:27:20] DEBUG: 88 9 15 798 855 23.674000
[2023-10-12 15:27:20] DEBUG: 89 18 1 525 555 12.548000
[2023-10-12 15:27:20] DEBUG: 90 3 15 1038 1080 20.916000
[2023-10-12 15:27:20] DEBUG: 91 5 1 633 675 17.266000
[2023-10-12 15:27:20] DEBUG: 92 9 1 978 1005 10.838000
[2023-10-12 15:27:20] DEBUG: 93 27 1 813 855 15.699000
[2023-10-12 15:27:20] DEBUG: 94 8 21 1008 1031 10.428000
[2023-10-12 15:27:20] DEBUG: 95 7 16 963 982 7.593000
[2023-10-12 15:27:20] DEBUG: 96 4 1 858 915 33.936000
[2023-10-12 15:27:20] DEBUG: 97 3 15 978 1020 20.916000
[2023-10-12 15:27:20] DEBUG: 98 10 1 873 885 3.506000
[2023-10-12 15:27:20] DEBUG: 99 4 1 1038 1095 33.936000
[2023-10-12 15:27:20] DEBUG: 100 20 1 1065 1095 12.743000
[2023-10-12 15:27:20] DEBUG: 101 12 28 828 858 12.364000
[2023-10-12 15:27:20] DEBUG: 102 25 1 692 705 4.789000
[2023-10-12 15:27:20] DEBUG: 103 13 15 618 660 15.537000
[2023-10-12 15:27:20] DEBUG: 104 13 20 978 1005 12.401000
[2023-10-12 15:27:20] DEBUG: 105 4 24 603 615 10.362000
[2023-10-12 15:27:20] DEBUG: 106 13 15 1008 1050 15.537000
[2023-10-12 15:27:20] DEBUG: 107 5 1 1008 1063 20.256000
[2023-10-12 15:27:20] DEBUG: 108 3 15 768 795 12.400000
[2023-10-12 15:27:20] DEBUG: 109 7 16 543 562 7.593000
[2023-10-12 15:27:20] DEBUG: 110 9 1 738 765 10.838000
[2023-10-12 15:27:20] DEBUG: 111 17 15 863 885 9.805000
[2023-10-12 15:27:20] DEBUG: 112 2 15 573 600 10.230000
[2023-10-12 15:27:20] DEBUG: 113 3 15 1038 1080 20.916000
[2023-10-12 15:27:20] DEBUG: 114 12 1 693 720 11.549000
[2023-10-12 15:27:20] DEBUG: 115 29 15 1065 1095 15.543000
[2023-10-12 15:27:20] DEBUG: 116 9 25 1038 1052 6.687000
[2023-10-12 15:27:20] DEBUG: 117 13 15 1098 1140 15.537000
[2023-10-12 15:27:20] DEBUG: 118 13 15 948 990 15.537000
[2023-10-12 15:27:20] DEBUG: 119 9 1 858 885 10.838000
[2023-10-12 15:27:20] DEBUG: 120 9 15 618 675 23.674000
[2023-10-12 15:27:20] DEBUG: 121 13 15 438 480 15.537000
[2023-10-12 15:27:20] DEBUG: 122 29 15 705 735 15.543000
[2023-10-12 15:27:20] DEBUG: 123 17 15 983 1005 9.805000
[2023-10-12 15:27:20] DEBUG: 124 27 1 368 405 15.699000
[2023-10-12 15:27:20] DEBUG: 125 20 1 705 735 12.743000
[2023-10-12 15:27:20] DEBUG: 126 7 16 1068 1087 9.107000
[2023-10-12 15:27:20] DEBUG: 127 7 16 648 667 9.107000
[2023-10-12 15:27:20] DEBUG: 128 12 28 768 798 12.364000
[2023-10-12 15:27:20] DEBUG: 129 6 17 843 863 10.104000
[2023-10-12 15:27:20] DEBUG: 130 8 15 1128 1170 17.327000
[2023-10-12 15:27:20] DEBUG: 131 13 15 558 600 15.537000
[2023-10-12 15:27:20] DEBUG: 132 7 16 543 562 7.593000
[2023-10-12 15:27:20] DEBUG: 133 27 1 783 825 15.699000
[2023-10-12 15:27:20] DEBUG: 134 9 25 858 872 6.687000
[2023-10-12 15:27:20] DEBUG: 135 13 15 678 720 15.537000
[2023-10-12 15:27:20] DEBUG: 136 6 29 678 705 15.026000
[2023-10-12 15:27:20] DEBUG: 137 5 1 1068 1123 20.256000
[2023-10-12 15:27:20] DEBUG: 138 10 1 993 1005 3.506000
[2023-10-12 15:27:20] DEBUG: 139 17 15 1043 1065 9.805000
[2023-10-12 15:27:20] DEBUG: 140 13 15 978 1020 15.537000
[2023-10-12 15:27:20] DEBUG: 141 4 24 1083 1095 10.362000
[2023-10-12 15:27:20] DEBUG: 142 25 1 512 525 4.789000
[2023-10-12 15:27:20] DEBUG: 143 4 1 498 555 33.936000
[2023-10-12 15:27:20] DEBUG: 144 13 15 1008 1050 15.537000
[2023-10-12 15:27:20] DEBUG: 145 8 21 768 791 10.428000
[2023-10-12 15:27:20] DEBUG: 146 23 1 669 690 9.052000
[2023-10-12 15:27:20] DEBUG: 147 10 14 1128 1153 9.733000
[2023-10-12 15:27:20] DEBUG: 148 7 16 723 742 7.593000
[2023-10-12 15:27:20] DEBUG: 149 13 20 1098 1125 12.401000
[2023-10-12 15:27:20] DEBUG: 150 28 1 978 1005 9.688000
[2023-10-12 15:27:20] DEBUG: 151 13 15 1098 1140 15.537000
[2023-10-12 15:27:20] DEBUG: 152 9 15 798 855 23.674000
[2023-10-12 15:27:20] DEBUG: 153 5 1 708 763 20.256000
[2023-10-12 15:27:20] DEBUG: 154 3 15 948 975 12.400000
[2023-10-12 15:27:20] DEBUG: 155 8 15 1068 1110 17.327000
[2023-10-12 15:27:20] DEBUG: 156 13 18 918 945 13.540000
[2023-10-12 15:27:20] DEBUG: 157 2 15 1113 1140 10.230000
[2023-10-12 15:27:20] DEBUG: 158 27 1 693 735 15.699000
[2023-10-12 15:27:20] DEBUG: 159 27 1 723 765 15.699000
[2023-10-12 15:27:20] DEBUG: 160 25 1 992 1005 4.789000
[2023-10-12 15:27:20] DEBUG: 161 4 24 1143 1155 10.362000
[2023-10-12 15:27:20] DEBUG: 162 23 1 969 990 9.052000
[2023-10-12 15:27:20] DEBUG: 163 11 15 708 762 20.205000
[2023-10-12 15:27:20] DEBUG: 164 27 1 903 945 15.699000
[2023-10-12 15:27:20] DEBUG: 165 5 1 468 523 20.256000
[2023-10-12 15:27:20] DEBUG: 166 9 1 618 645 10.838000
[2023-10-12 15:27:20] DEBUG: 167 6 29 1038 1065 15.026000
[2023-10-12 15:27:20] DEBUG: 168 28 1 1038 1065 9.688000
[2023-10-12 15:27:20] DEBUG: 169 9 25 738 752 6.687000
[2023-10-12 15:27:20] DEBUG: 170 16 1 1102 1125 8.253000
[2023-10-12 15:27:20] DEBUG: 171 7 16 603 622 7.593000
[2023-10-12 15:27:20] DEBUG: 172 9 15 558 615 23.674000
[2023-10-12 15:27:20] DEBUG: 173 13 15 1068 1110 15.537000
[2023-10-12 15:27:20] DEBUG: 174 26 1 542 555 6.474000
[2023-10-12 15:27:20] DEBUG: 175 23 1 1149 1170 9.052000
[2023-10-12 15:27:20] DEBUG: 176 22 15 1095 1108 9.549000
[2023-10-12 15:27:20] DEBUG: 177 13 20 738 765 12.401000
[2023-10-12 15:27:20] DEBUG: 178 9 25 798 812 6.687000
[2023-10-12 15:27:20] DEBUG: 179 16 1 922 945 8.253000
[2023-10-12 15:27:20] DEBUG: 180 12 26 528 542 4.645000
[2023-10-12 15:27:20] DEBUG: 181 12 26 888 902 4.645000
[2023-10-12 15:27:20] DEBUG: 182 13 15 1128 1170 15.537000
[2023-10-12 15:27:20] DEBUG: 183 2 15 873 900 10.230000
[2023-10-12 15:27:20] DEBUG: 184 6 17 543 563 10.104000
[2023-10-12 15:27:20] DEBUG: 185 11 23 1008 1029 11.212000
[2023-10-12 15:27:20] DEBUG: 186 6 29 738 765 15.026000
[2023-10-12 15:27:20] DEBUG: 187 12 1 693 720 11.549000
[2023-10-12 15:27:20] DEBUG: 188 3 15 708 735 12.400000
[2023-10-12 15:27:20] DEBUG: 189 16 1 787 810 14.137000
[2023-10-12 15:27:20] DEBUG: 190 12 28 768 798 12.364000
[2023-10-12 15:27:20] DEBUG: 191 9 15 558 615 23.674000
[2023-10-12 15:27:20] DEBUG: 192 4 1 738 795 33.936000
[2023-10-12 15:27:20] DEBUG: 193 12 1 813 840 11.549000
[2023-10-12 15:27:20] DEBUG: 194 12 28 588 618 12.364000
[2023-10-12 15:27:20] DEBUG: 195 12 1 573 600 11.549000
[2023-10-12 15:27:20] DEBUG: 196 28 1 1098 1125 9.688000
[2023-10-12 15:27:20] DEBUG: 197 7 16 1083 1102 7.593000
[2023-10-12 15:27:20] DEBUG: 198 13 18 798 825 13.540000
[2023-10-12 15:27:20] DEBUG: 199 23 1 609 630 9.052000
[2023-10-12 15:27:20] DEBUG: 200 23 1 669 690 9.052000
[2023-10-12 15:27:20] DEBUG: 201 27 1 753 795 15.699000
[2023-10-12 15:27:20] DEBUG: 202 27 1 753 795 15.699000
[2023-10-12 15:27:20] DEBUG: 203 22 15 795 808 9.549000
[2023-10-12 15:27:20] DEBUG: 204 12 1 813 840 11.549000
[2023-10-12 15:27:20] DEBUG: 205 28 1 1038 1065 9.688000
[2023-10-12 15:27:20] DEBUG: 206 17 15 1103 1125 9.805000
[2023-10-12 15:27:20] DEBUG: 207 11 23 1128 1149 11.212000
[2023-10-12 15:27:20] DEBUG: 208 13 20 1038 1065 12.401000
[2023-10-12 15:27:20] DEBUG: 209 11 15 888 942 20.205000
[2023-10-12 15:27:20] DEBUG: 210 13 18 978 1005 13.540000
[2023-10-12 15:27:20] DEBUG: 211 3 15 918 960 20.916000
[2023-10-12 15:27:20] DEBUG: 212 9 1 798 825 10.838000
[2023-10-12 15:27:20] DEBUG: 213 22 15 915 928 9.549000
[2023-10-12 15:27:20] DEBUG: 214 27 1 873 915 15.699000
[2023-10-12 15:27:20] DEBUG: 215 6 17 603 623 10.104000
[2023-10-12 15:27:20] DEBUG: 216 12 1 753 780 11.549000
[2023-10-12 15:27:20] DEBUG: 217 4 1 798 855 33.936000
[2023-10-12 15:27:20] DEBUG: 218 5 1 393 435 17.266000
[2023-10-12 15:27:20] DEBUG: 219 4 1 738 795 33.936000
[2023-10-12 15:27:20] DEBUG: 220 4 24 663 675 10.362000
[2023-10-12 15:27:20] DEBUG: 221 17 15 803 825 9.805000
[2023-10-12 15:27:20] DEBUG: 222 23 1 729 750 9.052000
[2023-10-12 15:27:20] DEBUG: 223 2 15 993 1020 10.230000
[2023-10-12 15:27:20] DEBUG: 224 9 1 918 945 10.838000
[2023-10-12 15:27:20] DEBUG: 225 2 15 753 780 10.230000
[2023-10-12 15:27:20] DEBUG: 226 6 17 1143 1163 10.104000
[2023-10-12 15:27:20] DEBUG: 227 4 24 723 735 10.362000
[2023-10-12 15:27:20] DEBUG: 228 18 1 645 675 12.548000
[2023-10-12 15:27:20] DEBUG: 229 26 1 782 795 6.474000
[2023-10-12 15:27:20] DEBUG: 230 14 1 913 945 13.688000
[2023-10-12 15:27:20] DEBUG: 231 8 15 708 750 17.327000
[2023-10-12 15:27:20] DEBUG: 232 22 15 1155 1168 9.549000
[2023-10-12 15:27:20] DEBUG: 233 12 1 993 1020 11.549000
[2023-10-12 15:27:20] DEBUG: 234 25 1 1052 1065 4.789000
[2023-10-12 15:27:20] DEBUG: 235 10 1 633 645 3.506000
[2023-10-12 15:27:20] DEBUG: 236 3 15 498 540 20.916000
[2023-10-12 15:27:20] DEBUG: 237 2 15 1053 1080 10.230000
[2023-10-12 15:27:20] DEBUG: 238 11 23 888 909 11.212000
[2023-10-12 15:27:20] DEBUG: 239 2 15 1053 1080 10.230000
[2023-10-12 15:27:20] DEBUG: 240 18 1 585 615 12.548000
[2023-10-12 15:27:20] DEBUG: 241 12 1 873 900 11.549000
[2023-10-12 15:27:20] DEBUG: 242 4 24 1143 1155 10.362000
[2023-10-12 15:27:20] DEBUG: 243 6 17 963 983 10.104000
[2023-10-12 15:27:20] DEBUG: 244 29 15 765 795 15.543000
[2023-10-12 15:27:20] DEBUG: 245 13 15 588 630 15.537000
[2023-10-12 15:27:20] DEBUG: 246 16 1 682 705 8.253000
[2023-10-12 15:27:20] DEBUG: 247 17 15 983 1005 9.805000
[2023-10-12 15:27:20] DEBUG: 248 12 26 1068 1082 4.645000
[2023-10-12 15:27:20] DEBUG: 249 18 1 645 675 12.548000
[2023-10-12 15:27:20] DEBUG: 250 3 15 1128 1155 12.400000
[2023-10-12 15:27:20] DEBUG: 251 3 15 858 900 20.916000
[2023-10-12 15:27:20] DEBUG: 252 12 26 1008 1022 4.645000
[2023-10-12 15:27:20] DEBUG: 253 22 15 615 628 9.549000
[2023-10-12 15:27:20] DEBUG: 254 12 1 933 960 11.549000
[2023-10-12 15:27:20] DEBUG: 255 21 1 1091 1125 13.447000
[2023-10-12 15:27:20] DEBUG: 256 9 25 978 992 6.687000
[2023-10-12 15:27:20] DEBUG: 257 7 16 648 667 9.107000
[2023-10-12 15:27:20] DEBUG: 258 16 1 847 870 14.137000
[2023-10-12 15:27:20] DEBUG: 259 4 1 978 1035 33.936000
[2023-10-12 15:27:20] DEBUG: 260 16 1 1147 1170 14.137000
[2023-10-12 15:27:20] DEBUG: 261 12 28 1008 1038 12.364000
[2023-10-12 15:27:20] DEBUG: 262 16 1 727 750 14.137000
[2023-10-12 15:27:20] DEBUG: 263 12 1 633 660 11.549000
[2023-10-12 15:27:20] DEBUG: 264 16 1 1087 1110 14.137000
[2023-10-12 15:27:20] DEBUG: 265 29 15 585 615 15.543000
[2023-10-12 15:27:20] DEBUG: 266 10 14 768 793 9.733000
[2023-10-12 15:27:20] DEBUG: 267 20 1 945 975 12.743000
[2023-10-12 15:27:20] DEBUG: 268 4 24 543 555 10.362000
[2023-10-12 15:27:20] DEBUG: 269 9 15 918 975 23.674000
[2023-10-12 15:27:20] DEBUG: 270 14 1 1033 1065 13.688000
[2023-10-12 15:27:20] DEBUG: 271 2 15 993 1020 10.230000
[2023-10-12 15:27:20] DEBUG: 272 3 15 618 660 20.916000
[2023-10-12 15:27:20] DEBUG: 273 23 1 1089 1110 9.052000
[2023-10-12 15:27:20] DEBUG: 274 28 1 618 645 9.688000
[2023-10-12 15:27:20] DEBUG: 275 8 21 588 611 10.428000
[2023-10-12 15:27:20] DEBUG: 276 13 15 798 840 15.537000
[2023-10-12 15:27:20] DEBUG: 277 10 14 648 673 9.733000
[2023-10-12 15:27:20] DEBUG: 278 4 1 678 735 33.936000
[2023-10-12 15:27:20] DEBUG: 279 20 1 1125 1155 12.743000
[2023-10-12 15:27:20] DEBUG: 280 6 17 1023 1043 10.104000
[2023-10-12 15:27:20] DEBUG: 281 6 17 723 743 10.104000
[2023-10-12 15:27:20] DEBUG: 282 27 1 513 555 15.699000
[2023-10-12 15:27:20] DEBUG: 283 16 1 1087 1110 14.137000
[2023-10-12 15:27:20] DEBUG: 284 5 1 888 943 20.256000
[2023-10-12 15:27:20] DEBUG: 285 17 15 1043 1065 9.805000
[2023-10-12 15:27:20] DEBUG: 286 9 15 858 915 23.674000
[2023-10-12 15:27:20] DEBUG: 287 11 23 828 849 11.212000
[2023-10-12 15:27:20] DEBUG: 288 12 28 948 978 12.364000
[2023-10-12 15:27:20] DEBUG: 289 16 1 982 1005 8.253000
[2023-10-12 15:27:20] DEBUG: 290 4 1 1038 1095 33.936000
[2023-10-12 15:27:20] DEBUG: 291 12 1 753 780 11.549000
[2023-10-12 15:27:20] DEBUG: 292 13 15 1068 1110 15.537000
[2023-10-12 15:27:20] DEBUG: 293 16 1 862 885 8.253000
[2023-10-12 15:27:20] DEBUG: 294 3 15 888 915 12.400000
[2023-10-12 15:27:20] DEBUG: 295 25 1 992 1005 4.789000
[2023-10-12 15:27:20] DEBUG: 296 11 15 588 642 20.205000
[2023-10-12 15:27:20] DEBUG: 297 7 16 663 682 7.593000
[2023-10-12 15:27:20] DEBUG: 298 21 1 971 1005 13.447000
[2023-10-12 15:27:20] DEBUG: 299 3 15 618 660 20.916000
[2023-10-12 15:27:20] DEBUG: 300 28 1 978 1005 9.688000
[2023-10-12 15:27:20] DEBUG: 301 5 1 693 735 17.266000
[2023-10-12 15:27:20] DEBUG: 302 9 1 498 525 10.838000
[2023-10-12 15:27:20] DEBUG: 303 13 15 1038 1080 15.537000
[2023-10-12 15:27:20] DEBUG: 304 27 1 693 735 15.699000
[2023-10-12 15:27:20] DEBUG: 305 3 15 858 900 20.916000
[2023-10-12 15:27:20] DEBUG: 306 20 1 705 735 12.743000
[2023-10-12 15:27:20] DEBUG: 307 28 1 738 765 9.688000
[2023-10-12 15:27:20] DEBUG: 308 13 18 978 1005 13.540000
[2023-10-12 15:27:20] DEBUG: 309 2 15 513 540 10.230000
[2023-10-12 15:27:20] DEBUG: 310 27 1 573 615 15.699000
[2023-10-12 15:27:20] DEBUG: 311 6 17 543 563 10.104000
[2023-10-12 15:27:20] DEBUG: 312 12 26 828 842 4.645000
[2023-10-12 15:27:20] DEBUG: 313 16 1 787 810 14.137000
[2023-10-12 15:27:20] DEBUG: 314 16 1 727 750 14.137000
[2023-10-12 15:27:20] DEBUG: 315 13 15 798 840 15.537000
[2023-10-12 15:27:20] DEBUG: 316 16 1 802 825 8.253000
[2023-10-12 15:27:20] DEBUG: 317 6 29 918 945 15.026000
[2023-10-12 15:27:20] DEBUG: 318 26 1 962 975 6.474000
[2023-10-12 15:27:20] DEBUG: 319 11 23 648 669 11.212000
[2023-10-12 15:27:20] DEBUG: 320 13 18 738 765 13.540000
[2023-10-12 15:27:20] DEBUG: 321 11 15 768 822 20.205000
[2023-10-12 15:27:20] DEBUG: 322 4 1 918 975 33.936000
[2023-10-12 15:27:20] DEBUG: 323 17 15 563 585 9.805000
[2023-10-12 15:27:20] DEBUG: 324 5 1 573 615 17.266000
[2023-10-12 15:27:20] DEBUG: 325 6 29 1038 1065 15.026000
[2023-10-12 15:27:20] DEBUG: 326 13 18 798 825 13.540000
[2023-10-12 15:27:20] DEBUG: 327 4 24 1083 1095 10.362000
[2023-10-12 15:27:20] DEBUG: 328 13 15 468 510 15.537000
[2023-10-12 15:27:20] DEBUG: 329 28 1 558 585 9.688000
[2023-10-12 15:27:20] DEBUG: 330 3 15 558 600 20.916000
[2023-10-12 15:27:20] DEBUG: 331 29 15 1125 1155 15.543000
[2023-10-12 15:27:20] DEBUG: 332 13 15 858 900 15.537000
[2023-10-12 15:27:20] DEBUG: 333 18 1 945 975 12.548000
[2023-10-12 15:27:20] DEBUG: 334 22 15 735 748 9.549000
[2023-10-12 15:27:20] DEBUG: 335 22 15 615 628 9.549000
[2023-10-12 15:27:20] DEBUG: 336 14 1 793 825 13.688000
[2023-10-12 15:27:20] DEBUG: 337 6 17 843 863 10.104000
[2023-10-12 15:27:20] DEBUG: 338 9 15 678 735 23.674000
[2023-10-12 15:27:20] DEBUG: 339 10 14 888 913 9.733000
[2023-10-12 15:27:20] DEBUG: 340 6 17 1143 1163 10.104000
[2023-10-12 15:27:20] DEBUG: 341 25 1 1112 1125 4.789000
[2023-10-12 15:27:20] DEBUG: 342 7 16 828 847 9.107000
[2023-10-12 15:27:20] DEBUG: 343 20 1 945 975 12.743000
[2023-10-12 15:27:20] DEBUG: 344 21 1 611 645 13.447000
[2023-10-12 15:27:20] DEBUG: 345 12 1 573 600 11.549000
[2023-10-12 15:27:20] DEBUG: 346 5 1 753 795 17.266000
[2023-10-12 15:27:20] DEBUG: 347 10 1 573 585 3.506000
[2023-10-12 15:27:20] DEBUG: 348 2 15 633 660 10.230000
[2023-10-12 15:27:20] DEBUG: 349 3 15 588 615 12.400000
[2023-10-12 15:27:20] DEBUG: 350 12 1 1113 1140 11.549000
[2023-10-12 15:27:20] DEBUG: 351 26 1 902 915 6.474000
[2023-10-12 15:27:20] DEBUG: 352 3 15 828 855 12.400000
[2023-10-12 15:27:20] DEBUG: 353 13 15 858 900 15.537000
[2023-10-12 15:27:20] DEBUG: 354 16 1 967 990 14.137000
[2023-10-12 15:27:20] DEBUG: 355 7 16 1023 1042 7.593000
[2023-10-12 15:27:20] DEBUG: 356 9 25 558 572 6.687000
[2023-10-12 15:27:20] DEBUG: 357 13 18 918 945 13.540000
[2023-10-12 15:27:20] DEBUG: 358 12 26 768 782 4.645000
[2023-10-12 15:27:20] DEBUG: 359 27 1 723 765 15.699000
[2023-10-12 15:27:20] DEBUG: 360 11 23 588 609 11.212000
[2023-10-12 15:27:20] DEBUG: 361 13 20 1098 1125 12.401000
[2023-10-12 15:27:20] DEBUG: 362 9 15 678 735 23.674000
[2023-10-12 15:27:20] DEBUG: 363 29 15 765 795 15.543000
[2023-10-12 15:27:20] DEBUG: 364 2 15 933 960 10.230000
[2023-10-12 15:27:20] DEBUG: 365 5 1 1053 1095 17.266000
[2023-10-12 15:27:20] DEBUG: 366 6 17 783 803 10.104000
[2023-10-12 15:27:20] DEBUG: 367 7 16 1008 1027 9.107000
[2023-10-12 15:27:20] DEBUG: 368 23 1 729 750 9.052000
